Image,Window,R,G,B
0.jpg,W_Ref,155.565,183.565,143.565
0.jpg,B_Ref,5.3475,0.3975,2.0575
0.jpg,Temp_40,114.22,139.4325,92.7225
0.jpg,Temp_44,130.2225,159.8675,110.63
0.jpg,Temp_46,125.855,152.2475,101.44500000000001
0.jpg,Temp_49,145.46,173.57,131.5425
0.jpg,Temp_54,139.925,167.26,137.7525
0.jpg,Temp_60,131.835,165.2275,142.2975
0.jpg,Temp_62,124.665,153.1275,135.0375
0.jpg,Temp_65,128.735,152.0275,129.28
0.jpg,Temp_71,111.89,142.565,130.9175
1.jpg,W_Ref,155.885,183.79,144.70000000000002
1.jpg,B_Ref,5.5125,0.3325,1.955
1.jpg,Temp_40,114.98,138.8325,95.9
1.jpg,Temp_44,131.09,158.48250000000002,112.4175
1.jpg,Temp_46,127.03750000000001,152.395,101.375
1.jpg,Temp_49,145.565,173.82,131.8375
1.jpg,Temp_54,139.70000000000002,168.3325,137.04500000000002
1.jpg,Temp_60,132.0575,165.2975,142.4775
1.jpg,Temp_62,122.545,152.8675,136.76500000000001
1.jpg,Temp_65,128.695,150.93,130.5325
1.jpg,Temp_71,109.77,142.3975,129.98250000000002
2.jpg,W_Ref,155.6975,183.495,145.2425
2.jpg,B_Ref,3.1025,1.5125,2.0425
2.jpg,Temp_40,114.625,139.2575,93.2825
2.jpg,Temp_44,130.315,158.9025,112.39750000000001
2.jpg,Temp_46,125.78,151.845,102.5475
2.jpg,Temp_49,146.01500000000001,172.3675,130.915
2.jpg,Temp_54,140.3525,166.83,137.9175
2.jpg,Temp_60,132.0,165.3725,142.125
2.jpg,Temp_62,124.7325,153.3675,135.665
2.jpg,Temp_65,126.265,152.4775,129.7275
2.jpg,Temp_71,110.3525,142.2575,130.195
3.jpg,W_Ref,155.8825,183.38,147.70250000000001
3.jpg,B_Ref,2.0075,2.0,1.04
3.jpg,Temp_40,113.58,138.88,94.63
3.jpg,Temp_44,130.76,158.5325,111.6425
3.jpg,Temp_46,127.3375,153.0,102.0625
3.jpg,Temp_49,147.2075,173.78,132.3775
3.jpg,Temp_54,139.7525,166.82750000000001,138.965
3.jpg,Temp_60,131.6625,165.54500000000002,141.685
3.jpg,Temp_62,121.8,154.6875,135.4125
3.jpg,Temp_65,126.97,152.70250000000001,128.7725
3.jpg,Temp_71,111.6925,141.6725,130.36
4.jpg,W_Ref,155.92000000000002,183.92000000000002,144.04
4.jpg,B_Ref,5.08,0.555,1.6125
4.jpg,Temp_40,114.3875,139.54,93.41250000000001
4.jpg,Temp_44,130.79500000000002,159.105,112.885
4.jpg,Temp_46,126.925,152.135,102.08
4.jpg,Temp_49,145.31,173.33,131.845
4.jpg,Temp_54,139.7875,167.0675,138.905
4.jpg,Temp_60,131.86,165.48,141.6575
4.jpg,Temp_62,122.82000000000001,152.7825,134.8625
4.jpg,Temp_65,129.1625,150.8675,132.215
4.jpg,Temp_71,109.1075,142.26500000000001,127.465
5.jpg,W_Ref,156.315,184.2875,144.71
5.jpg,B_Ref,2.1575,1.9375,1.405
5.jpg,Temp_40,115.2975,139.0475,95.7975
5.jpg,Temp_44,131.23,157.9325,109.7275
5.jpg,Temp_46,125.6275,152.83,101.15
5.jpg,Temp_49,145.1475,174.3075,131.99
5.jpg,Temp_54,139.7125,166.895,139.0025
5.jpg,Temp_60,133.36,165.35,142.82750000000001
5.jpg,Temp_62,121.7175,153.785,134.2225
5.jpg,Temp_65,127.2425,152.36,130.3775
5.jpg,Temp_71,110.18,141.9225,130.32
6.jpg,W_Ref,155.82,183.82,143.82
6.jpg,B_Ref,3.165,1.5075,2.0925000000000002
6.jpg,Temp_40,115.94,139.9025,94.9475
6.jpg,Temp_44,132.51500000000001,158.71,109.465
6.jpg,Temp_46,126.5125,152.0175,102.625
6.jpg,Temp_49,146.04500000000002,173.555,131.8525
6.jpg,Temp_54,140.35750000000002,165.6925,138.2575
6.jpg,Temp_60,132.12,165.0275,142.63750000000002
6.jpg,Temp_62,122.02250000000001,153.76250000000002,136.6025
6.jpg,Temp_65,126.8425,152.20250000000001,128.4625
6.jpg,Temp_71,114.765,139.9,131.195
7.jpg,W_Ref,155.4,182.8975,147.21
7.jpg,B_Ref,5.7125,0.1775,2.0075
7.jpg,Temp_40,113.925,139.3375,94.7475
7.jpg,Temp_44,130.405,158.4125,111.7825
7.jpg,Temp_46,125.8275,152.0975,103.04
7.jpg,Temp_49,146.355,173.21,132.305
7.jpg,Temp_54,136.7875,167.895,137.8425
7.jpg,Temp_60,131.83,165.3125,142.9625
7.jpg,Temp_62,121.41,154.85,134.035
7.jpg,Temp_65,127.6425,152.565,131.8075
7.jpg,Temp_71,109.8775,141.995,130.8625
8.jpg,W_Ref,155.985,183.985,143.985
8.jpg,B_Ref,3.6875,1.2625,2.09
8.jpg,Temp_40,114.0975,140.2275,93.665
8.jpg,Temp_44,130.96,158.5025,112.355
8.jpg,Temp_46,125.7025,152.235,102.435
8.jpg,Temp_49,145.095,172.9875,131.25
8.jpg,Temp_54,140.2275,167.1125,139.57750000000001
8.jpg,Temp_60,132.8175,164.2675,142.685
8.jpg,Temp_62,124.965,152.32,135.6325
8.jpg,Temp_65,127.22,152.26250000000002,131.495
8.jpg,Temp_71,114.4175,141.06,129.0325
9.jpg,W_Ref,155.895,182.1275,146.86
9.jpg,B_Ref,4.735,0.72,1.4025
9.jpg,Temp_40,114.4225,140.0525,95.9725
9.jpg,Temp_44,131.465,159.54500000000002,112.26
9.jpg,Temp_46,126.41,152.7875,102.62
9.jpg,Temp_49,146.51,173.24,132.1325
9.jpg,Temp_54,141.5425,166.2975,139.23
9.jpg,Temp_60,131.2525,165.6625,142.51
9.jpg,Temp_62,124.3875,152.64000000000001,135.8825
9.jpg,Temp_65,127.055,152.2875,131.5
9.jpg,Temp_71,110.0925,141.9325,130.5475
10.jpg,W_Ref,155.305,183.5225,143.905
10.jpg,B_Ref,2.11,1.9375,1.8825
10.jpg,Temp_40,114.86500000000001,139.3625,94.795
10.jpg,Temp_44,130.5175,158.7525,112.1575
10.jpg,Temp_46,126.2225,151.79,102.025
10.jpg,Temp_49,146.105,172.5325,130.855
10.jpg,Temp_54,140.5525,166.69,138.02
10.jpg,Temp_60,132.355,164.705,144.82
10.jpg,Temp_62,122.025,153.9375,135.605
10.jpg,Temp_65,126.2075,152.12,131.1325
10.jpg,Temp_71,110.1425,142.03,132.105
11.jpg,W_Ref,155.68,183.6425,143.915
11.jpg,B_Ref,3.8625000000000003,1.2025000000000001,2.1125
11.jpg,Temp_40,113.4575,139.7775,94.21000000000001
11.jpg,Temp_44,131.4425,157.4175,111.7425
11.jpg,Temp_46,126.16,152.46,101.4925
11.jpg,Temp_49,145.4775,173.20000000000002,131.1725
11.jpg,Temp_54,141.6175,166.725,139.155
11.jpg,Temp_60,131.175,165.185,144.955
11.jpg,Temp_62,127.0925,151.2675,135.7675
11.jpg,Temp_65,127.8325,152.57750000000001,129.9
11.jpg,Temp_71,110.4775,141.8475,131.095
12.jpg,W_Ref,156.0,183.86,145.32500000000002
12.jpg,B_Ref,3.7225,1.2725,2.1375
12.jpg,Temp_40,113.95,138.7525,93.1525
12.jpg,Temp_44,132.2875,157.13750000000002,111.9725
12.jpg,Temp_46,126.435,151.63750000000002,102.785
12.jpg,Temp_49,146.5925,173.355,131.9475
12.jpg,Temp_54,140.625,165.895,138.5625
12.jpg,Temp_60,131.15,164.6275,144.495
12.jpg,Temp_62,123.0725,154.935,132.955
12.jpg,Temp_65,126.78750000000001,151.8525,131.135
12.jpg,Temp_71,114.325,141.2225,130.36
13.jpg,W_Ref,155.9125,183.3425,148.3175
13.jpg,B_Ref,2.825,1.7125000000000001,0.7375
13.jpg,Temp_40,114.02,139.5175,94.615
13.jpg,Temp_44,132.7075,157.305,111.925
13.jpg,Temp_46,126.4075,152.245,101.7025
13.jpg,Temp_49,143.8825,174.2425,131.525
13.jpg,Temp_54,139.895,166.7125,138.585
13.jpg,Temp_60,131.2675,164.5325,142.2525
