Image,Window,R,G,B
9.jpg,Temp_49,143.1275,169.6725,114.37
9.jpg,Temp_54,139.2925,165.24,117.6525
9.jpg,Temp_60,137.865,167.6,135.5125
9.jpg,Temp_62,128.19,162.495,136.565
9.jpg,Temp_65,131.5675,158.745,134.5925
9.jpg,Temp_71,113.015,143.665,140.555
10.jpg,W_Ref,155.46,183.47,144.085
10.jpg,B_Ref,2.0525,1.9575,1.98
10.jpg,Temp_40,103.24000000000001,126.575,98.4525
10.jpg,Temp_44,116.5675,142.5875,111.395
10.jpg,Temp_46,110.3225,134.8775,85.115
10.jpg,Temp_49,141.7125,169.345,114.495
10.jpg,Temp_54,137.18,167.055,117.99000000000001
10.jpg,Temp_60,136.83,169.0225,136.87
10.jpg,Temp_62,131.1575,161.2125,136.38
10.jpg,Temp_65,131.895,158.10750000000002,136.6575
10.jpg,Temp_71,113.0425,144.3075,137.4
11.jpg,W_Ref,155.68,183.6425,143.915
11.jpg,B_Ref,3.8625000000000003,1.2025000000000001,2.1125
11.jpg,Temp_40,102.5925,126.495,97.2675
11.jpg,Temp_44,116.125,143.39000000000001,107.0275
11.jpg,Temp_46,108.97,135.3725,81.14750000000001
11.jpg,Temp_49,142.8725,169.08,113.28
11.jpg,Temp_54,139.5525,165.3125,117.4025
11.jpg,Temp_60,133.79500000000002,169.1425,133.98
11.jpg,Temp_62,127.885,162.8925,134.6975
11.jpg,Temp_65,132.23,156.57,136.1475
11.jpg,Temp_71,113.14750000000001,144.38,137.4125
12.jpg,W_Ref,156.0,183.86,145.32500000000002
12.jpg,B_Ref,3.7225,1.2725,2.1375
12.jpg,Temp_40,102.9775,126.85000000000001,97.35000000000001
12.jpg,Temp_44,116.2025,143.4575,107.9775
12.jpg,Temp_46,109.9775,134.21,86.0125
12.jpg,Temp_49,143.36,169.2925,113.46000000000001
12.jpg,Temp_54,138.1475,166.7875,118.2125
12.jpg,Temp_60,136.0975,167.8525,136.88750000000002
12.jpg,Temp_62,127.98,162.1875,136.1675
12.jpg,Temp_65,131.825,156.8625,136.2625
12.jpg,Temp_71,113.4325,143.9025,140.1
13.jpg,W_Ref,155.9125,183.3425,148.3175
13.jpg,B_Ref,2.825,1.7125000000000001,0.7375
13.jpg,Temp_40,102.7825,126.8325,97.9625
13.jpg,Temp_44,116.02250000000001,142.7825,110.935
13.jpg,Temp_46,112.0875,133.09,86.43
13.jpg,Temp_49,141.505,169.7125,111.47500000000001
13.jpg,Temp_54,137.64000000000001,166.725,118.015
13.jpg,Temp_60,137.3125,168.52,135.35750000000002
13.jpg,Temp_62,128.14000000000001,162.72,135.9075
13.jpg,Temp_65,131.82,156.9575,136.7975
13.jpg,Temp_71,112.89,144.13750000000002,140.5525
14.jpg,W_Ref,156.12,184.12,144.12
14.jpg,B_Ref,2.9925,1.6675,1.35
14.jpg,Temp_40,101.4875,127.11500000000001,96.88
14.jpg,Temp_44,115.8175,143.1425,110.7675
14.jpg,Temp_46,110.595,133.725,81.1975
14.jpg,Temp_49,142.7825,169.32750000000001,113.37
14.jpg,Temp_54,139.33,165.23250000000002,118.9475
14.jpg,Temp_60,135.54,168.88,134.7725
14.jpg,Temp_62,127.7375,162.105,136.0375
14.jpg,Temp_65,131.4575,157.5925,136.04500000000002
14.jpg,Temp_71,112.7075,143.935,140.20000000000002
15.jpg,W_Ref,155.8475,183.51500000000001,146.3775
15.jpg,B_Ref,2.99,1.58,1.665
15.jpg,Temp_40,101.9925,126.9575,100.2475
15.jpg,Temp_44,117.16250000000001,143.19,108.3
15.jpg,Temp_46,108.73,135.2475,80.85000000000001
15.jpg,Temp_49,142.855,168.845,115.8725
15.jpg,Temp_54,138.72,166.45250000000001,118.1575
15.jpg,Temp_60,139.0175,167.72,137.63
15.jpg,Temp_62,127.5925,161.665,137.085
15.jpg,Temp_65,126.91,159.925,137.97
15.jpg,Temp_71,113.4225,145.16,137.8925
16.jpg,W_Ref,155.9575,183.1675,147.85
16.jpg,B_Ref,2.9175,1.5825,2.07
16.jpg,Temp_40,102.1825,126.815,100.185
16.jpg,Temp_44,115.7175,142.48,112.79
16.jpg,Temp_46,109.9225,134.715,85.675
16.jpg,Temp_49,142.2725,170.3975,112.64
16.jpg,Temp_54,137.45000000000002,166.1525,118.065
16.jpg,Temp_60,136.4,168.5375,135.73
16.jpg,Temp_62,127.97,162.875,136.035
16.jpg,Temp_65,131.2075,158.1225,135.945
16.jpg,Temp_71,113.3625,144.63750000000002,137.41
17.jpg,W_Ref,156.0,183.68,146.48
17.jpg,B_Ref,3.4250000000000003,1.8975,0.865
17.jpg,Temp_40,102.9875,126.3425,97.235
17.jpg,Temp_44,116.43,143.4325,110.0725
17.jpg,Temp_46,110.415,132.65,85.2375
17.jpg,Temp_49,143.615,169.1225,118.3075
17.jpg,Temp_54,139.7775,165.3425,117.47500000000001
17.jpg,Temp_60,134.2475,168.88,136.13
17.jpg,Temp_62,128.4975,162.365,137.5375
17.jpg,Temp_65,132.2825,158.745,136.7675
17.jpg,Temp_71,111.03,145.7675,139.525
18.jpg,W_Ref,155.72,183.70000000000002,144.585
18.jpg,B_Ref,3.8875,1.81,0.9375
18.jpg,Temp_40,104.1075,124.97500000000001,99.62
18.jpg,Temp_44,117.33500000000001,143.645,114.07000000000001
18.jpg,Temp_46,109.125,134.735,86.0575
18.jpg,Temp_49,142.865,169.2125,114.525
18.jpg,Temp_54,140.0175,164.57500000000002,117.935
18.jpg,Temp_60,135.895,169.4875,136.0425
18.jpg,Temp_62,128.23250000000002,162.32,137.4225
18.jpg,Temp_65,129.8475,159.315,137.07500000000002
18.jpg,Temp_71,114.14750000000001,144.1025,141.475
19.jpg,W_Ref,155.92000000000002,183.5025,143.74
19.jpg,B_Ref,2.4375,1.885,0.4
19.jpg,Temp_40,102.28750000000001,127.67750000000001,98.2125
19.jpg,Temp_44,117.045,141.1775,112.41
19.jpg,Temp_46,109.405,133.87,86.025
19.jpg,Temp_49,140.98250000000002,170.4875,112.71000000000001
19.jpg,Temp_54,138.08,166.3825,118.77
19.jpg,Temp_60,136.2175,167.465,137.7975
19.jpg,Temp_62,128.16,162.2725,137.6925
19.jpg,Temp_65,132.1875,158.3325,137.63750000000002
19.jpg,Temp_71,112.11,146.16,137.82
20.jpg,W_Ref,155.84,183.385,147.51500000000001
20.jpg,B_Ref,6.075,0.525,1.6125
20.jpg,Temp_40,103.7425,125.94,96.9925
20.jpg,Temp_44,116.9,143.45000000000002,108.605
20.jpg,Temp_46,111.27,132.73250000000002,84.375
20.jpg,Temp_49,141.865,170.27,114.77250000000001
20.jpg,Temp_54,136.275,167.2525,117.9225
20.jpg,Temp_60,137.16,168.76250000000002,136.165
20.jpg,Temp_62,128.04500000000002,162.5975,136.6725
20.jpg,Temp_65,131.86,158.0325,136.6875
20.jpg,Temp_71,113.5,144.7875,137.28
21.jpg,W_Ref,155.685,183.065,150.895
21.jpg,B_Ref,6.0325,1.665,0.775
21.jpg,Temp_40,102.0575,125.63250000000001,99.575
21.jpg,Temp_44,115.3875,142.8025,112.24000000000001
21.jpg,Temp_46,112.025,131.455,84.83
21.jpg,Temp_49,140.8425,169.775,111.9875
21.jpg,Temp_54,138.0275,166.725,118.7675
21.jpg,Temp_60,133.9725,169.115,137.18
21.jpg,Temp_62,128.7475,162.0525,139.8425
21.jpg,Temp_65,129.4025,158.8225,138.0075
21.jpg,Temp_71,113.3375,143.935,140.13
22.jpg,W_Ref,155.6,183.5825,143.715
22.jpg,B_Ref,5.87,1.46,0.7375
22.jpg,Temp_40,100.88,126.465,98.905
22.jpg,Temp_44,116.635,143.2425,112.3175
22.jpg,Temp_46,107.97,133.935,84.1875
22.jpg,Temp_49,143.0475,169.41,118.125
22.jpg,Temp_54,139.57750000000001,165.01,117.8325
22.jpg,Temp_60,137.03,168.6925,135.04500000000002
22.jpg,Temp_62,128.97,162.88,137.7275
22.jpg,Temp_65,130.0675,160.245,136.37
22.jpg,Temp_71,113.03750000000001,144.165,138.1975
23.jpg,W_Ref,155.97,184.1875,142.8525
23.jpg,B_Ref,6.0125,0.0125,1.9675
23.jpg,Temp_40,102.92,126.425,96.7925
23.jpg,Temp_44,116.515,142.0325,111.16
23.jpg,Temp_46,109.25750000000001,134.1125,83.995
23.jpg,Temp_49,142.5175,169.93,113.9425
23.jpg,Temp_54,137.27,166.9625,118.815
23.jpg,Temp_60,133.785,168.61,137.46
23.jpg,Temp_62,128.79500000000002,162.095,136.98
23.jpg,Temp_65,131.695,158.2925,135.1225
23.jpg,Temp_71,113.76,144.8125,141.605
24.jpg,W_Ref,155.7425,183.175,148.0625
24.jpg,B_Ref,4.89,0.63,1.9575
24.jpg,Temp_40,101.3475,126.25750000000001,98.1675
24.jpg,Temp_44,116.4175,143.65,112.1725
24.jpg,Temp_46,109.9,134.455,85.16
24.jpg,Temp_49,142.3925,169.26500000000001,114.3725
24.jpg,Temp_54,138.3625,166.68,118.4475
24.jpg,Temp_60,136.165,169.385,137.98
24.jpg,Temp_62,128.39000000000001,162.4325,137.2775
24.jpg,Temp_65,129.205,159.385,137.53
24.jpg,Temp_71,113.78750000000001,144.3375,139.9
25.jpg,W_Ref,155.96,183.06,150.74
25.jpg,B_Ref,3.1975000000000002,1.71,1.435
25.jpg,Temp_40,103.9975,124.715,99.255
25.jpg,Temp_44,116.7,142.5075,113.0
25.jpg,Temp_46,108.815,133.1825,84.71000000000001
25.jpg,Temp_49,144.1975,170.16,119.1925
25.jpg,Temp_54,138.2425,165.65,118.495
25.jpg,Temp_60,138.70000000000002,167.135,137.29500000000002
25.jpg,Temp_62,127.895,162.47,137.95250000000001
25.jpg,Temp_65,132.02,158.4025,136.57500000000002
25.jpg,Temp_71,114.34,147.1325,135.725
26.jpg,W_Ref,155.7125,183.4175,148.1225
26.jpg,B_Ref,2.9425,1.5625,2.02
26.jpg,Temp_40,103.0575,126.645,97.985
26.jpg,Temp_44,117.8225,141.9975,110.5425
26.jpg,Temp_46,108.91,133.1675,83.8025
26.jpg,Temp_49,141.2975,169.41,111.2375
26.jpg,Temp_54,138.71,166.48250000000002,119.0625
26.jpg,Temp_60,137.16,167.8425,139.18
26.jpg,Temp_62,128.1125,161.775,139.84
26.jpg,Temp_65,131.875,157.76,137.2475
26.jpg,Temp_71,113.645,145.055,137.79500000000002
27.jpg,W_Ref,156.04,183.605,147.495
27.jpg,B_Ref,4.74,0.8225,1.6675
27.jpg,Temp_40,102.6025,125.905,100.1075
27.jpg,Temp_44,116.685,142.0275,112.7075
27.jpg,Temp_46,112.2075,132.3875,84.885
27.jpg,Temp_49,143.2125,169.59,116.71000000000001
27.jpg,Temp_54,138.415,166.0725,117.53750000000001
27.jpg,Temp_60,135.785,168.4425,137.0475
27.jpg,Temp_62,128.5375,161.7425,137.955
27.jpg,Temp_65,132.1525,158.385,138.035
27.jpg,Temp_71,112.84,144.18,140.39000000000001
28.jpg,W_Ref,155.68,183.62,144.16
28.jpg,B_Ref,2.535,1.865,0.495
28.jpg,Temp_40,101.6425,127.7925,101.215
28.jpg,Temp_44,116.8225,141.79,111.82000000000001
28.jpg,Temp_46,108.77250000000001,133.8075,84.18
28.jpg,Temp_49,141.59,170.675,112.26
28.jpg,Temp_54,139.435,164.9475,119.2225
28.jpg,Temp_60,135.815,169.03,134.82
28.jpg,Temp_62,128.2925,161.7225,140.20250000000001
28.jpg,Temp_65,130.0725,159.1475,137.8775
28.jpg,Temp_71,113.845,143.7775,140.9
29.jpg,W_Ref,155.88,183.555,146.395
29.jpg,B_Ref,3.1375,1.8525,0.885
29.jpg,Temp_40,103.7075,127.3425,96.795
29.jpg,Temp_44,116.3525,143.1125,113.17750000000001
29.jpg,Temp_46,109.3375,134.39000000000001,84.1875
29.jpg,Temp_49,142.7725,169.605,119.05250000000001
29.jpg,Temp_54,138.725,165.6475,118.145
29.jpg,Temp_60,136.33,169.0425,138.8425
29.jpg,Temp_62,128.6025,162.5825,137.085
29.jpg,Temp_65,127.74000000000001,160.6275,138.735
29.jpg,Temp_71,114.3775,145.36,139.3675
30.jpg,W_Ref,156.06,183.995,144.565
30.jpg,B_Ref,2.8075,1.94,1.0125
30.jpg,Temp_40,103.555,126.0875,96.9225
30.jpg,Temp_44,116.2775,142.9275,112.235
30.jpg,Temp_46,109.28750000000001,134.39000000000001,84.21000000000001
30.jpg,Temp_49,141.10750000000002,170.98250000000002,112.4675
30.jpg,Temp_54,137.57,166.9125,118.77
30.jpg,Temp_60,135.725,168.495,137.5675
30.jpg,Temp_62,128.12,162.6125,135.865
30.jpg,Temp_65,129.45250000000001,158.5725,136.28
30.jpg,Temp_71,114.075,144.8925,142.4725
31.jpg,W_Ref,155.595,183.3825,145.28
31.jpg,B_Ref,3.465,1.62,1.645
31.jpg,Temp_40,101.1225,126.825,100.005
31.jpg,Temp_44,117.14750000000001,142.385,109.415
31.jpg,Temp_46,108.775,133.33,83.97500000000001
31.jpg,Temp_49,141.3725,170.3425,119.15
31.jpg,Temp_54,138.6675,165.465,120.1675
31.jpg,Temp_60,136.2,168.6325,135.8975
31.jpg,Temp_62,132.3475,160.21,136.4925
31.jpg,Temp_65,130.155,159.3825,138.1225
31.jpg,Temp_71,112.73,143.9925,140.655
32.jpg,W_Ref,155.685,183.1175,148.04500000000002
32.jpg,B_Ref,5.0375000000000005,0.615,1.97
32.jpg,Temp_40,102.685,126.83500000000001,99.91250000000001
32.jpg,Temp_44,116.06,142.82750000000001,113.0275
32.jpg,Temp_46,108.8,133.8725,84.43
32.jpg,Temp_49,141.715,170.26,112.7025
32.jpg,Temp_54,137.28,167.0525,117.06
32.jpg,Temp_60,135.24,169.1675,138.885
32.jpg,Temp_62,128.455,162.2275,137.595
32.jpg,Temp_65,129.415,158.29,137.155
32.jpg,Temp_71,114.24000000000001,144.83,137.7575
33.jpg,W_Ref,155.84,182.9225,151.04
33.jpg,B_Ref,5.29,0.48,1.4675
33.jpg,Temp_40,103.99000000000001,126.2125,100.31
33.jpg,Temp_44,117.38250000000001,142.85,113.48
33.jpg,Temp_46,111.21000000000001,133.085,84.33500000000001
33.jpg,Temp_49,142.49,169.615,118.745
33.jpg,Temp_54,138.9775,165.39000000000001,119.3275
33.jpg,Temp_60,135.72,168.0725,137.0
33.jpg,Temp_62,128.1225,161.9475,137.3375
33.jpg,Temp_65,132.035,157.355,136.9575
33.jpg,Temp_71,113.60000000000001,144.9775,138.665
34.jpg,W_Ref,155.6775,183.455,145.5225
34.jpg,B_Ref,5.0200000000000005,0.55,2.0300000000000002
34.jpg,Temp_40,104.04,126.45,98.13250000000001
34.jpg,Temp_44,115.71000000000001,142.1925,112.665
34.jpg,Temp_46,109.6875,134.9325,85.34
34.jpg,Temp_49,142.5575,169.58,114.155
34.jpg,Temp_54,140.6,165.4575,118.255
34.jpg,Temp_60,136.345,168.7125,135.85
34.jpg,Temp_62,127.9875,163.155,138.1675
34.jpg,Temp_65,132.715,158.7675,136.6675
34.jpg,Temp_71,114.7125,145.41,138.9975
35.jpg,W_Ref,156.025,183.945,144.82500000000002
35.jpg,B_Ref,4.8875,0.61,1.6400000000000001
35.jpg,Temp_40,103.0275,127.4375,98.3175
35.jpg,Temp_44,116.625,141.745,111.855
35.jpg,Temp_46,109.3775,133.79,86.3675
35.jpg,Temp_49,143.3675,170.145,117.96000000000001
35.jpg,Temp_54,139.1625,165.4625,118.9775
35.jpg,Temp_60,136.465,168.5725,137.9225
35.jpg,Temp_62,127.7225,161.535,136.17000000000002
35.jpg,Temp_65,131.6275,157.7475,137.31
35.jpg,Temp_71,114.01,145.215,141.76500000000001
36.jpg,W_Ref,155.95250000000001,183.8625,144.8525
36.jpg,B_Ref,2.63,1.81,1.495
36.jpg,Temp_40,102.9825,126.57000000000001,96.10000000000001
36.jpg,Temp_44,116.7325,142.5325,111.76
36.jpg,Temp_46,109.86500000000001,134.4025,84.3225
36.jpg,Temp_49,142.155,170.7825,113.64
36.jpg,Temp_54,137.2775,167.05,119.515
36.jpg,Temp_60,134.48250000000002,168.8475,136.695
36.jpg,Temp_62,129.02,162.7275,137.5875
36.jpg,Temp_65,129.995,159.155,137.465
36.jpg,Temp_71,113.5975,144.675,140.435
37.jpg,W_Ref,156.15,183.485,149.19
37.jpg,B_Ref,2.35,1.95,0.3
37.jpg,Temp_40,102.91,126.285,96.9525
37.jpg,Temp_44,116.1175,143.6825,114.22
37.jpg,Temp_46,109.0475,134.0725,84.885
37.jpg,Temp_49,141.405,170.3975,111.9775
37.jpg,Temp_54,137.9,166.495,118.575
37.jpg,Temp_60,134.31,169.225,137.5675
37.jpg,Temp_62,127.9925,161.165,138.4475
37.jpg,Temp_65,127.89750000000001,160.74,138.46
37.jpg,Temp_71,114.0275,145.3475,138.01500000000001
38.jpg,W_Ref,156.0,183.5575,147.505
38.jpg,B_Ref,3.295,1.415,2.07
38.jpg,Temp_40,104.3175,126.73,101.14750000000001
38.jpg,Temp_44,117.06,143.195,112.9
38.jpg,Temp_46,112.075,133.6825,85.83
38.jpg,Temp_49,142.73250000000002,169.9275,116.84
38.jpg,Temp_54,139.5525,165.43,120.1875
38.jpg,Temp_60,138.88,167.285,137.865
38.jpg,Temp_62,127.95,162.1775,137.6
38.jpg,Temp_65,132.05,157.8525,136.6825
38.jpg,Temp_71,114.5425,145.77,138.3175
39.jpg,W_Ref,155.9975,183.5975,147.1575
39.jpg,B_Ref,5.945,1.7375,0.47250000000000003
39.jpg,Temp_40,102.4225,125.5575,99.2225
39.jpg,Temp_44,116.3,143.705,111.6925
39.jpg,Temp_46,108.84,134.5,81.375
39.jpg,Temp_49,141.70000000000002,170.1125,114.6925
39.jpg,Temp_54,138.6575,165.095,118.325
39.jpg,Temp_60,134.4225,169.465,137.8225
39.jpg,Temp_62,127.94250000000001,161.7975,136.875
39.jpg,Temp_65,132.38,157.8675,137.1125
39.jpg,Temp_71,114.0175,143.92000000000002,140.62
40.jpg,W_Ref,155.98,183.53,147.6
40.jpg,B_Ref,4.87,0.7125,1.6525
40.jpg,Temp_40,102.26,126.79,97.0625
40.jpg,Temp_44,115.655,143.07750000000001,111.6575
40.jpg,Temp_46,110.4525,134.1875,85.54
40.jpg,Temp_49,143.51500000000001,170.6575,114.745
40.jpg,Temp_54,139.4675,165.35,118.41250000000001
40.jpg,Temp_60,134.03,169.4125,135.215
40.jpg,Temp_62,128.365,162.0375,136.865
40.jpg,Temp_65,128.125,161.41,135.74
40.jpg,Temp_71,114.6675,144.8975,141.005
41.jpg,W_Ref,156.005,183.0725,151.31
41.jpg,B_Ref,2.8000000000000003,1.7575,1.5825
41.jpg,Temp_40,103.91,125.28,97.38
41.jpg,Temp_44,116.7325,142.675,112.97500000000001
41.jpg,Temp_46,109.91,134.6875,85.0575
41.jpg,Temp_49,142.185,170.5475,115.55250000000001
41.jpg,Temp_54,138.11,166.5975,120.28750000000001
41.jpg,Temp_60,135.4425,168.6675,137.1525
41.jpg,Temp_62,128.04500000000002,162.835,137.465
41.jpg,Temp_65,132.6325,157.995,137.55
41.jpg,Temp_71,114.44500000000001,145.4975,136.135
42.jpg,W_Ref,156.1475,183.6275,148.0825
42.jpg,B_Ref,3.225,1.425,2.05
42.jpg,Temp_40,103.31,126.69,99.96000000000001
42.jpg,Temp_44,118.1375,142.7275,113.4475
42.jpg,Temp_46,110.4775,134.4425,86.72
42.jpg,Temp_49,142.475,170.2775,112.4625
42.jpg,Temp_54,137.2175,167.0225,119.535
42.jpg,Temp_60,134.995,169.7925,136.4675
42.jpg,Temp_62,128.84,162.49,138.9175
42.jpg,Temp_65,130.46,158.44,137.22
42.jpg,Temp_71,113.71000000000001,144.1875,140.51
43.jpg,W_Ref,156.08,183.4325,148.96
43.jpg,B_Ref,3.8725,1.565,1.6125
43.jpg,Temp_40,102.2275,126.67750000000001,100.5425
43.jpg,Temp_44,116.06,143.135,112.6025
43.jpg,Temp_46,109.355,134.86,81.27
43.jpg,Temp_49,142.18,170.1925,112.605
43.jpg,Temp_54,137.19,167.025,119.665
43.jpg,Temp_60,134.135,169.81,137.305
43.jpg,Temp_62,128.205,162.3425,136.5975
43.jpg,Temp_65,127.6125,160.20250000000001,137.0925
43.jpg,Temp_71,114.0,144.525,141.0375
44.jpg,W_Ref,155.995,183.54500000000002,147.615
44.jpg,B_Ref,3.0275,1.59,1.6600000000000001
44.jpg,Temp_40,102.9475,125.79,100.0575
44.jpg,Temp_44,117.6825,142.7525,113.95
44.jpg,Temp_46,109.2225,135.23250000000002,82.045
44.jpg,Temp_49,142.4275,169.5475,118.1075
44.jpg,Temp_54,139.38750000000002,165.4575,119.925
44.jpg,Temp_60,139.0425,167.095,137.1825
44.jpg,Temp_62,130.6575,161.485,137.7675
44.jpg,Temp_65,129.9175,159.6475,138.05
44.jpg,Temp_71,113.3175,144.2125,138.205
45.jpg,W_Ref,156.08,183.465,148.755
45.jpg,B_Ref,3.19,1.5025,0.5325
45.jpg,Temp_40,104.2125,126.9525,97.86500000000001
45.jpg,Temp_44,117.7675,144.1125,113.83
45.jpg,Temp_46,112.56,133.8525,85.9
45.jpg,Temp_49,143.8075,169.3325,119.4075
45.jpg,Temp_54,137.8775,165.8725,119.93
45.jpg,Temp_60,135.1975,169.09,136.9275
45.jpg,Temp_62,127.82000000000001,162.685,136.19
45.jpg,Temp_65,129.73,159.3425,134.8725
45.jpg,Temp_71,113.1175,144.0675,140.1125
46.jpg,W_Ref,155.89000000000001,183.47,149.6
46.jpg,B_Ref,4.715,0.7225,1.43
46.jpg,Temp_40,102.22500000000001,128.2475,98.5125
46.jpg,Temp_44,116.9175,143.73,114.02
46.jpg,Temp_46,109.135,134.5725,85.6575
46.jpg,Temp_49,142.095,169.51250000000002,117.925
46.jpg,Temp_54,137.5475,166.3,121.8925
46.jpg,Temp_60,137.60750000000002,169.785,134.325
46.jpg,Temp_62,128.2475,162.3225,136.6225
46.jpg,Temp_65,129.9325,158.58,137.9625
46.jpg,Temp_71,113.9025,143.4725,139.9075
47.jpg,W_Ref,156.06,183.61,147.62
47.jpg,B_Ref,3.8075,1.55,1.58
47.jpg,Temp_40,101.18,127.1375,97.22
47.jpg,Temp_44,118.5875,143.93,113.7975
47.jpg,Temp_46,110.045,135.5025,85.7525
47.jpg,Temp_49,141.6325,170.32500000000002,114.6675
