Image,Window,R,G,B
18.jpg,W_Ref,159.70000000000002,182.355,157.9
18.jpg,B_Ref,20.01,16.7875,13.27
18.jpg,H_20,78.4175,138.0325,140.57500000000002
18.jpg,H_40,60.050000000000004,127.635,132.07
18.jpg,H_60,39.2075,116.905,128.31
18.jpg,H_80,26.6725,83.4225,104.595
19.jpg,W_Ref,160.0,183.0,157.0
19.jpg,B_Ref,19.36,16.76,11.96
19.jpg,H_20,78.6125,138.1,139.0675
19.jpg,H_40,59.9575,128.7625,131.9225
19.jpg,H_60,40.8875,116.3675,128.6475
19.jpg,H_80,27.23,83.995,103.6025
20.jpg,W_Ref,160.04,183.04,157.04
20.jpg,B_Ref,20.7775,16.302500000000002,12.120000000000001
20.jpg,H_20,78.91,139.1,139.665
20.jpg,H_40,60.0625,127.50500000000001,133.20250000000001
20.jpg,H_60,40.785000000000004,116.9725,127.41
20.jpg,H_80,24.3575,83.605,102.5925
21.jpg,W_Ref,159.52,182.52,156.52
21.jpg,B_Ref,20.37,16.23,12.335
21.jpg,H_20,78.51,138.2225,138.7425
21.jpg,H_40,60.44,127.99000000000001,133.155
21.jpg,H_60,39.730000000000004,116.99000000000001,126.785
21.jpg,H_80,26.7025,83.595,103.88
22.jpg,W_Ref,159.55,182.205,157.75
22.jpg,B_Ref,19.95,15.05,11.0
22.jpg,H_20,78.515,138.2075,136.985
22.jpg,H_40,59.97,127.7075,130.45250000000001
22.jpg,H_60,39.5575,116.9525,128.48250000000002
22.jpg,H_80,25.03,84.3575,104.2
23.jpg,W_Ref,160.82750000000001,181.35,156.32
23.jpg,B_Ref,17.2825,17.5575,11.86
23.jpg,H_20,78.535,139.2075,138.695
23.jpg,H_40,59.845,127.42750000000001,132.19
23.jpg,H_60,39.7025,116.8925,127.8475
23.jpg,H_80,25.3875,84.15,104.3175
24.jpg,W_Ref,160.0,183.0,157.0
24.jpg,B_Ref,19.240000000000002,16.985,12.685
24.jpg,H_20,78.025,139.145,140.31
24.jpg,H_40,61.195,127.805,133.63
24.jpg,H_60,40.33,117.78,128.08
24.jpg,H_80,25.445,84.24,103.7475
25.jpg,W_Ref,157.88,182.065,156.37
25.jpg,B_Ref,17.9225,18.4375,12.6
25.jpg,H_20,78.345,138.99,140.485
25.jpg,H_40,60.265,128.485,129.05
25.jpg,H_60,40.410000000000004,116.6725,128.24
25.jpg,H_80,25.1925,84.2225,103.8775
26.jpg,W_Ref,159.52,182.52,156.52
26.jpg,B_Ref,20.75,15.85,11.8
26.jpg,H_20,77.47,138.8325,137.12
26.jpg,H_40,60.86,128.25,134.6
26.jpg,H_60,40.215,116.985,128.3675
