Humedad,H_20,H_40,H_60,H_80
19.2,0.608745316406333,0.491322382243308,0.243538040139095,0.0385978830220384
19.2698698698699,0.607770650810949,0.48948264391973,0.242246101823689,0.0380443497210724
19.3397397397397,0.606679363558757,0.488380477171821,0.241299034104244,0.0372850754466765
19.4096096096096,0.60659203441108,0.489329630347309,0.241012896058699,0.0361907028064484
19.4794794794795,0.607967668783164,0.490465682592647,0.24286241147812,0.0384771541966814
19.5493493493493,0.607825310148223,0.489969429328835,0.242599060820158,0.0389249878791227
19.6192192192192,0.607132174096936,0.488452499990722,0.241379830118522,0.0386131140248552
19.6890890890891,0.605316920021722,0.486098310755803,0.240177010765016,0.0380903462618571
19.758958958959,0.608486229611563,0.490527983510441,0.243474079487258,0.0399166455296645
19.8288288288288,0.604887663301395,0.485010690434946,0.238452329085696,0.0378061291966324
19.8986986986987,0.604501146595987,0.485246568108354,0.239424662903717,0.0372991255386954
19.9685685685686,0.611956352147837,0.492810039193239,0.245445248106216,0.0412544137997224
20.0384384384384,0.614724648774044,0.497317772838134,0.247626405471082,0.0407488052986687
20.1083083083083,0.612630349772588,0.496017500117079,0.24612730600084,0.0392387270616478
20.1781781781782,0.613514819494874,0.497112538101857,0.247194624181581,0.0405019885240658
20.248048048048,0.612197953582218,0.494695814641176,0.245999481138152,0.0393538799637339
20.3179179179179,0.6128189414968,0.496135865953565,0.247015171150128,0.0404562678902891
20.3877877877878,0.614230701718202,0.497674491401914,0.248609990298205,0.0428966222956406
20.4576576576577,0.611437835530416,0.496172341868921,0.246348486547252,0.040057929251862
20.5275275275275,0.614260933743777,0.497288800904166,0.247400904216708,0.0402182880474041
20.5973973973974,0.615867640774941,0.499345637535276,0.248805462458997,0.0410590714462597
20.6672672672673,0.61741220128559,0.500458626679617,0.249987102703585,0.0409168231185471
20.7371371371371,0.617142030716818,0.501033117603083,0.25086357781966,0.0405520412299356
20.807007007007,0.617681836875894,0.502094480731239,0.250844978358041,0.0403045143998683
20.8768768768769,0.625043326485414,0.509756478037613,0.255974021639432,0.0434240075044934
20.9467467467467,0.629586190885684,0.51324217089116,0.258140742278676,0.044528297173218
21.0166166166166,0.62746180037637,0.510732227713654,0.257726049687739,0.043203212986001
21.0864864864865,0.632410726202739,0.515843874570458,0.259535459714679,0.0449740805149322
21.1563563563564,0.634088399293294,0.517211377478243,0.261513224628389,0.0469287011411232
21.2262262262262,0.634001638356989,0.516958282426693,0.261245754795181,0.0463738768733783
21.2960960960961,0.632090220152304,0.516094128244219,0.261062683910236,0.0468437157518815
21.365965965966,0.631295906192298,0.515389177797092,0.259080009873277,0.0459046118362796
21.4358358358358,0.627903165691278,0.512986007962962,0.257916555742046,0.0446168172679609
21.5057057057057,0.628305114176338,0.513408931385018,0.25815960667646,0.0440648067382579
21.5755755755756,0.629509772805708,0.513900625888234,0.257377574218084,0.0438444271792763
21.6454454454454,0.630046936822419,0.514217615499372,0.257653634089657,0.0434933648971157
21.7153153153153,0.632362797418046,0.515173448406387,0.258764141702557,0.0444694091567035
21.7851851851852,0.634138629561522,0.516646759324171,0.259365091185084,0.0450967980696891
21.8550550550551,0.635393204711141,0.518081319806743,0.259545991868989,0.0453028020294985
21.9249249249249,0.635914767876382,0.51827918347291,0.2601064752497,0.0449213655016472
21.9947947947948,0.634834872096823,0.517162343025905,0.259752889863558,0.0436844251605578
22.0646646646647,0.634184860497631,0.517032419191493,0.260474004772178,0.0431763934606213
22.1345345345345,0.635087478545925,0.518589709517938,0.261303058510659,0.0442429644860465
22.2044044044044,0.636303228799149,0.519805554644154,0.261943299846063,0.0447367459466426
22.2742742742743,0.640974218823201,0.522745571664709,0.264891145595663,0.0480866602053398
22.3441441441441,0.638018627675799,0.51940486960696,0.26368328193513,0.0469019259705962
22.414014014014,0.634047042035378,0.51673425398257,0.261761944432618,0.0446036361943757
22.4838838838839,0.63593438428984,0.517983672179186,0.262572036383796,0.0460721447278456
22.5537537537538,0.642446763720759,0.521530471141094,0.265506575106807,0.049435242782596
22.6236236236236,0.638341249481627,0.518437533229944,0.263619116098689,0.0477454917944453
22.6934934934935,0.638046027329479,0.51795481211383,0.263045240959025,0.0475568864961095
22.7633633633634,0.642643255257604,0.52199050837388,0.266368881246416,0.0496141376183658
22.8332332332332,0.643231404535523,0.521971144435993,0.266829487924461,0.0507297342157964
22.9031031031031,0.645334555528999,0.524134955773944,0.268884945351625,0.051144119196051
22.972972972973,0.642893358265998,0.522923119825876,0.267583361362195,0.0487279737821261
23.0428428428428,0.643991781189075,0.52408289955668,0.267528927345796,0.0488511242965367
23.1127127127127,0.64632518233166,0.525529736094011,0.269728485787176,0.0489021134210696
23.1825825825826,0.650579390717147,0.530586394866309,0.27255902499277,0.0509003159456752
23.2524524524525,0.652854231778765,0.532031763629934,0.27357807194789,0.0522547836828439
23.3223223223223,0.653650968071042,0.531700966886443,0.274120907756217,0.0521642289843401
23.3921921921922,0.652785599245591,0.530460681164553,0.273668596097469,0.0515326954912212
23.4620620620621,0.654015335691218,0.531507987608225,0.275827459297076,0.0533974338832456
23.5319319319319,0.659785528161079,0.5351535173913,0.278045258009417,0.0539486407212901
23.6018018018018,0.657650916681857,0.534632026102082,0.276129376755716,0.054104190170874
23.6716716716717,0.657798685116316,0.535559539305576,0.275882866265153,0.05430890300864
23.7415415415415,0.657700309258857,0.535592395638588,0.274985976615155,0.0523569301269938
23.8114114114114,0.658260436160087,0.535654830582623,0.275246411408274,0.0521037800557031
23.8812812812813,0.659868820723527,0.536574319369455,0.275882761211504,0.0520932432353444
23.9511511511512,0.660886142358218,0.537871349649294,0.277481868991983,0.0524274764097072
24.021021021021,0.66357450631888,0.539661157932277,0.278363636034843,0.0532891347315044
24.0908908908909,0.666927919740255,0.541702997294311,0.280567906562785,0.0552754362525694
24.1607607607608,0.667769582452439,0.542847615720007,0.281233010025398,0.0561377132563813
24.2306306306306,0.669314010420562,0.544283771903395,0.28216570352038,0.0569260307009303
24.3005005005005,0.668253825149007,0.543598390280653,0.281603616451146,0.0563741928192541
24.3703703703704,0.668716752939541,0.543765272966987,0.281281126694281,0.0558117159280982
24.4402402402402,0.669013559956995,0.544635976775756,0.282207894166317,0.0558640183839025
24.5101101101101,0.670658415103361,0.546213640272682,0.283127921417801,0.0561820801453422
24.57997997998,0.673033585561427,0.548495505680746,0.284724848230672,0.0567934503791041
24.6498498498499,0.674591613636117,0.550072479288972,0.28594048844987,0.0569567417673236
