Image,Window,R,G,B
8.jpg,Temp_25,108.17,26.837500000000002,29.997500000000002
8.jpg,Temp_30,81.8175,35.0225,28.9925
8.jpg,Temp_35,40.105000000000004,24.7975,26.535
8.jpg,Temp_40,40.2475,30.2325,31.330000000000002
8.jpg,Temp_45,32.8975,22.5725,24.13
8.jpg,Temp_50,30.7925,21.0925,17.25
9.jpg,W_Ref,224.35,252.35,230.35
9.jpg,B_Ref,28.927500000000002,29.927500000000002,23.927500000000002
9.jpg,Temp_05,93.66250000000001,26.1725,15.925
9.jpg,Temp_10,109.0325,22.0625,20.06
9.jpg,Temp_15,105.665,25.96,26.285
9.jpg,Temp_20,120.2275,35.32,28.185000000000002
9.jpg,Temp_25,109.86500000000001,26.545,31.747500000000002
9.jpg,Temp_30,78.85000000000001,34.5075,28.845
9.jpg,Temp_35,39.11,24.462500000000002,22.5275
9.jpg,Temp_40,39.7525,29.955000000000002,29.6525
9.jpg,Temp_45,33.0825,22.675,23.575
9.jpg,Temp_50,34.465,19.8075,21.48
10.jpg,W_Ref,223.8375,251.8375,228.9725
10.jpg,B_Ref,29.09,30.09,24.09
10.jpg,Temp_05,95.00750000000001,26.5025,20.835
10.jpg,Temp_10,107.875,22.1825,19.36
10.jpg,Temp_15,105.07000000000001,26.552500000000002,26.55
10.jpg,Temp_20,123.18,34.005,30.885
10.jpg,Temp_25,109.4625,27.4175,29.38
10.jpg,Temp_30,79.8675,34.6575,30.580000000000002
10.jpg,Temp_35,40.5225,23.6925,28.2175
10.jpg,Temp_40,39.88,30.0075,30.2625
10.jpg,Temp_45,33.995,22.677500000000002,24.09
10.jpg,Temp_50,31.86,20.635,17.735
11.jpg,W_Ref,224.04250000000002,252.04250000000002,230.04250000000002
11.jpg,B_Ref,29.1875,30.1875,24.1875
11.jpg,Temp_05,94.5025,26.0675,15.2775
11.jpg,Temp_10,108.38250000000001,21.1225,22.0725
11.jpg,Temp_15,105.5025,26.580000000000002,26.345
11.jpg,Temp_20,120.2325,35.2625,27.8825
11.jpg,Temp_25,108.1425,26.38,28.7
11.jpg,Temp_30,81.2625,34.135,28.375
11.jpg,Temp_35,40.13,24.435000000000002,21.925
11.jpg,Temp_40,37.025,30.5925,28.3325
11.jpg,Temp_45,33.0675,22.7825,23.92
11.jpg,Temp_50,30.8,20.4775,20.505
12.jpg,W_Ref,223.9975,251.9975,229.405
12.jpg,B_Ref,29.22,30.22,24.22
12.jpg,Temp_05,94.1425,26.365000000000002,15.08
12.jpg,Temp_10,108.69500000000001,22.28,20.837500000000002
12.jpg,Temp_15,106.5125,27.0975,25.8975
12.jpg,Temp_20,121.3525,35.0525,28.060000000000002
12.jpg,Temp_25,108.0275,26.8325,30.04
12.jpg,Temp_30,79.08500000000001,34.6,30.552500000000002
12.jpg,Temp_35,39.0775,24.525000000000002,21.4525
12.jpg,Temp_40,40.295,30.3625,31.3625
12.jpg,Temp_45,32.82,22.6325,25.1575
12.jpg,Temp_50,31.2025,20.07,20.580000000000002
13.jpg,W_Ref,224.68,252.68,230.68
13.jpg,B_Ref,29.2925,30.2925,24.2925
13.jpg,Temp_05,94.39,27.075,20.1625
13.jpg,Temp_10,104.9375,21.605,18.4925
13.jpg,Temp_15,102.62,26.515,26.2425
13.jpg,Temp_20,120.285,34.6275,27.3875
13.jpg,Temp_25,108.1125,25.7225,28.79
13.jpg,Temp_30,77.9525,33.5825,30.3225
13.jpg,Temp_35,38.1425,22.2575,25.355
13.jpg,Temp_40,39.995,30.0325,31.0675
13.jpg,Temp_45,32.7775,22.895,23.89
13.jpg,Temp_50,34.2075,19.105,21.555
14.jpg,W_Ref,224.9875,252.9875,230.9875
14.jpg,B_Ref,29.1525,30.1525,24.1525
14.jpg,Temp_05,94.41250000000001,25.5675,15.540000000000001
14.jpg,Temp_10,108.33,20.82,18.9925
14.jpg,Temp_15,104.155,26.5425,25.8875
14.jpg,Temp_20,118.145,35.11,27.2925
14.jpg,Temp_25,105.915,25.755,29.35
14.jpg,Temp_30,74.665,34.0075,28.245
14.jpg,Temp_35,39.7525,24.205000000000002,26.4825
14.jpg,Temp_40,39.145,29.372500000000002,29.400000000000002
14.jpg,Temp_45,33.8675,22.2625,23.625
14.jpg,Temp_50,31.595000000000002,20.2375,20.4525
15.jpg,W_Ref,224.5825,252.5825,230.5825
15.jpg,B_Ref,28.8525,29.8525,23.8525
15.jpg,Temp_05,92.985,26.01,16.7475
15.jpg,Temp_10,108.4375,21.3975,18.6625
15.jpg,Temp_15,105.37,26.595,26.055
15.jpg,Temp_20,119.3525,35.3275,28.1825
15.jpg,Temp_25,106.0725,27.79,29.85
15.jpg,Temp_30,73.5775,33.005,28.63
15.jpg,Temp_35,38.83,24.245,22.177500000000002
15.jpg,Temp_40,39.36,29.587500000000002,29.615000000000002
15.jpg,Temp_45,34.005,22.5625,24.09
15.jpg,Temp_50,30.8625,19.925,19.240000000000002
16.jpg,W_Ref,224.29,252.29,229.585
16.jpg,B_Ref,28.5725,29.5725,23.5725
16.jpg,Temp_05,93.7525,25.8225,15.4625
16.jpg,Temp_10,106.31,21.125,17.8825
16.jpg,Temp_15,101.9075,26.060000000000002,25.11
16.jpg,Temp_20,117.465,34.542500000000004,27.785
16.jpg,Temp_25,103.69,26.755,28.3575
16.jpg,Temp_30,70.37,34.165,32.77
16.jpg,Temp_35,38.595,24.7425,25.802500000000002
16.jpg,Temp_40,39.2725,29.4325,29.395
16.jpg,Temp_45,33.5,22.53,23.9825
16.jpg,Temp_50,30.225,20.895,17.017500000000002
17.jpg,W_Ref,224.815,252.815,230.815
17.jpg,B_Ref,29.0725,30.2425,24.185000000000002
17.jpg,Temp_05,94.065,25.5325,19.6275
17.jpg,Temp_10,105.9475,21.135,20.8975
