Image,Window,R,G,B
0.jpg,W_Ref,226.1125,252.57250000000002,230.8225
0.jpg,B_Ref,29.695,30.695,24.695
0.jpg,Temp_05,104.04,27.885,15.77
0.jpg,Temp_10,118.1725,23.7,18.03
0.jpg,Temp_15,106.395,21.9825,21.5825
0.jpg,Temp_20,117.875,33.725,30.0475
0.jpg,Temp_25,103.785,21.3575,30.122500000000002
0.jpg,Temp_30,69.685,27.1825,28.32
0.jpg,Temp_35,37.935,19.855,20.575
0.jpg,Temp_40,32.19,22.18,23.2
0.jpg,Temp_45,26.900000000000002,16.830000000000002,17.865000000000002
0.jpg,Temp_50,26.0,16.0875,16.355
1.jpg,W_Ref,226.1125,252.57250000000002,230.8225
1.jpg,B_Ref,29.695,30.695,24.695
1.jpg,Temp_05,104.04,27.885,15.77
1.jpg,Temp_10,118.1725,23.7,18.03
1.jpg,Temp_15,106.395,21.9825,21.5825
1.jpg,Temp_20,117.875,33.725,30.0475
1.jpg,Temp_25,103.785,21.3575,30.122500000000002
1.jpg,Temp_30,69.685,27.1825,28.32
1.jpg,Temp_35,37.935,19.855,20.575
1.jpg,Temp_40,32.19,22.18,23.2
1.jpg,Temp_45,26.900000000000002,16.830000000000002,17.865000000000002
1.jpg,Temp_50,26.0,16.0875,16.355
2.jpg,W_Ref,224.86,252.86,230.86
2.jpg,B_Ref,29.23,30.23,24.23
2.jpg,Temp_05,104.8775,28.392500000000002,15.547500000000001
2.jpg,Temp_10,117.3275,23.9375,18.337500000000002
2.jpg,Temp_15,107.37,22.962500000000002,22.962500000000002
2.jpg,Temp_20,120.2975,31.9525,31.615000000000002
2.jpg,Temp_25,102.0475,21.7975,30.4375
2.jpg,Temp_30,68.17,27.29,28.8275
2.jpg,Temp_35,37.3925,20.9675,20.985
2.jpg,Temp_40,31.8875,22.0775,24.7625
2.jpg,Temp_45,27.01,16.94,18.150000000000002
2.jpg,Temp_50,25.0625,16.185,17.26
3.jpg,W_Ref,223.2375,251.2375,227.6125
3.jpg,B_Ref,29.997500000000002,30.997500000000002,24.997500000000002
3.jpg,Temp_05,104.18,27.37,12.102500000000001
3.jpg,Temp_10,120.075,21.595,17.0725
3.jpg,Temp_15,106.7775,22.2375,22.66
3.jpg,Temp_20,116.11,32.8825,30.855
3.jpg,Temp_25,104.3375,20.5375,29.1725
3.jpg,Temp_30,68.735,27.7875,28.26
3.jpg,Temp_35,36.29,21.7575,21.465
3.jpg,Temp_40,32.2875,22.2875,23.2875
3.jpg,Temp_45,27.625,17.625,18.625
3.jpg,Temp_50,25.97,16.065,16.2625
4.jpg,W_Ref,224.235,252.235,228.7725
4.jpg,B_Ref,29.560000000000002,30.560000000000002,24.560000000000002
4.jpg,Temp_05,104.2,27.215,14.85
4.jpg,Temp_10,119.79,21.927500000000002,17.02
4.jpg,Temp_15,105.9175,23.740000000000002,22.962500000000002
4.jpg,Temp_20,118.0275,31.91,30.830000000000002
4.jpg,Temp_25,101.3625,22.9375,31.32
