Fecha,Sensor,R,G,B
20260226,W_Ref,194.11992715920917,193.11992715920917,188.71201873048906
20260226,B_Ref,33.24635796045786,36.24635796045786,43.24635796045786
20260226,1,192.00579046593052,189.04767034742795,174.12961217344466
20260226,2,198.0905064647475,195.35188227730555,178.69462104436033
20260226,3,188.74451228376216,187.42607937200174,173.91277802006104
20260226,W_Ref,192.36277777777778,191.36277777777778,187.36277777777778
20260226,B_Ref,34.12222222222222,37.44222222222222,44.282222222222224
20260226,4,192.64713677896353,189.92753016670156,174.80463137336963
20260226,5,192.47814187972634,188.41346777097587,173.2257832193014
20260226,6,190.21618066213549,188.1363736022802,173.93561353504347
20260303,W_Ref,195.2130593132154,194.2130593132154,189.87695109261188
20260303,B_Ref,37.99167533818939,40.80280957336108,49.26066597294485
20260303,1,161.12735166425472,143.4871069596106,139.70280226286016
20260303,2,169.03572681968132,152.1544184740647,145.04969467256262
20260303,3,157.20942558372727,140.8926371580003,137.4645466265578
20260303,W_Ref,193.40833333333333,192.40833333333333,188.37166666666667
20260303,B_Ref,39.24805555555555,41.88527777777778,52.96805555555556
20260303,4,164.88561171336056,149.32472194847247,144.47367309587497
20260303,5,167.07844444444444,150.31851851851852,144.25088888888888
20260303,6,188.14582543413968,180.56434367179799,169.01880640024268
20260305,W_Ref,202.42418639053255,203.00110946745562,198.21264792899407
20260305,B_Ref,52.04844674556213,57.71412721893491,69.62536982248521
20260305,1,163.86028804696815,144.47179157875422,143.5005045408678
20260305,2,168.24627224627224,150.15180375180375,146.3968253968254
20260305,3,160.5855909496874,142.28351691971815,139.61734643247
20260305,W_Ref,194.27400548696846,193.37962962962962,189.32544581618654
20260305,B_Ref,48.213305898491086,53.68552812071331,64.16632373113855
20260305,4,163.0359281437126,147.64431137724551,143.50273738237811
20260305,5,161.61616766467068,144.1223267750214,140.6507271171942
20260305,6,186.17616666666666,178.30283333333333,166.55141666666665
20260306,W_Ref,197.89643347050753,198.88888888888889,193.78737997256516
20260306,B_Ref,33.95061728395062,37.23388203017833,46.48765432098765
20260306,1,163.82712765957447,142.84505833905285,136.8098833218943
20260306,2,167.20821894303361,147.18685655456417,140.11367536032944
20260306,3,153.7371664978048,133.60781830462682,129.28866936845662
20260306,W_Ref,193.14163237311385,192.27880658436214,187.6340877914952
20260306,B_Ref,33.111796982167355,37.05829903978052,45.70644718792867
20260306,4,163.2128418549346,143.99779174452183,136.92670290470528
20260306,5,158.24640065816536,136.63981900452487,130.67387906211434
20260306,6,182.3503079109427,171.70219485236066,159.55187115111323
20260307,W_Ref,206.98242630385488,208.01984126984127,202.0266439909297
20260307,B_Ref,37.15816326530612,43.71485260770975,55.21485260770975
20260307,1,161.83340362716154,141.78138619429214,138.15056938000845
20260307,2,163.8501291989664,143.1223083548665,137.76973873097904
20260307,3,152.7142857142857,132.00213644779944,128.97934767127188
20260307,W_Ref,201.0827664399093,202.0827664399093,196.76190476190476
20260307,B_Ref,37.317460317460316,42.32766439909297,54.297052154195015
20260307,4,166.45645254629628,147.25130208333331,142.09447337962962
20260307,5,159.51604938271606,137.8228031953522,134.10849673202614
20260307,6,187.6701253782966,178.6034010664361,165.0841619829947
20260308,W_Ref,206.3068181818182,207.10640495867767,201.5237603305785
20260308,B_Ref,27.733471074380166,31.760330578512395,40.733987603305785
20260308,1,158.2415452974574,131.3532461120711,126.21179955566527
